,question,question_id,question_type,answer
6,What should I know about storage and disposal of Thiamine ?,0001198-7,storage and disposal,
7,What to do in case of emergency or overdose of Thiamine ?,0001198-8,emergency or overdose,
8,What other information should I know about Thiamine ?,0001198-9,other information,
9,What are the brand names of Thiamine ?,0001198-10,brand names,
0,Who should get Thioguanine and why is it prescribed ?,0001199-1,indication,
1,How should Thioguanine be used and what is the dosage ?,0001199-2,usage,
2,Are there safety concerns or special precautions about Thioguanine ?,0001199-4,precautions,
3,What special dietary instructions should I follow with Thioguanine ?,0001199-5,dietary,
4,What should I do if I forget a dose of Thioguanine ?,0001199-6,forget a dose,
5,What are the side effects or risks of Thioguanine ?,0001199-7,side effects,
6,What should I know about storage and disposal of Thioguanine ?,0001199-8,storage and disposal,
7,What to do in case of emergency or overdose of Thioguanine ?,0001199-9,emergency or overdose,
8,What other information should I know about Thioguanine ?,0001199-10,other information,
9,What are the brand names of Thioguanine ?,0001199-11,brand names,
0,What important warning or information should I know about Thioridazine ?,0001200-1,important warning,
1,Who should get Thioridazine and why is it prescribed ?,0001200-2,indication,
2,How should Thioridazine be used and what is the dosage ?,0001200-3,usage,
3,Are there safety concerns or special precautions about Thioridazine ?,0001200-5,precautions,
4,What special dietary instructions should I follow with Thioridazine ?,0001200-6,dietary,
5,What should I do if I forget a dose of Thioridazine ?,0001200-7,forget a dose,
6,What are the side effects or risks of Thioridazine ?,0001200-8,side effects,
7,What should I know about storage and disposal of Thioridazine ?,0001200-9,storage and disposal,
8,What to do in case of emergency or overdose of Thioridazine ?,0001200-10,emergency or overdose,
9,What other information should I know about Thioridazine ?,0001200-11,other information,
10,What are the brand names of Thioridazine ?,0001200-12,brand names,
0,Who should get Thiotepa Injection and why is it prescribed ?,0001201-1,indication,
1,How should Thiotepa Injection be used and what is the dosage ?,0001201-2,usage,
2,Are there safety concerns or special precautions about Thiotepa Injection ?,0001201-4,precautions,
3,What special dietary instructions should I follow with Thiotepa Injection ?,0001201-5,dietary,
4,What are the side effects or risks of Thiotepa Injection ?,0001201-6,side effects,
5,What to do in case of emergency or overdose of Thiotepa Injection ?,0001201-7,emergency or overdose,
6,What other information should I know about Thiotepa Injection ?,0001201-8,other information,
7,What are the brand names of Thiotepa Injection ?,0001201-9,brand names,
0,What important warning or information should I know about Thiothixene ?,0001202-1,important warning,
1,Who should get Thiothixene and why is it prescribed ?,0001202-2,indication,
2,How should Thiothixene be used and what is the dosage ?,0001202-3,usage,
3,Are there safety concerns or special precautions about Thiothixene ?,0001202-5,precautions,
4,What special dietary instructions should I follow with Thiothixene ?,0001202-6,dietary,
5,What should I do if I forget a dose of Thiothixene ?,0001202-7,forget a dose,
6,What are the side effects or risks of Thiothixene ?,0001202-8,side effects,
7,What should I know about storage and disposal of Thiothixene ?,0001202-9,storage and disposal,
8,What to do in case of emergency or overdose of Thiothixene ?,0001202-10,emergency or overdose,
9,What other information should I know about Thiothixene ?,0001202-11,other information,
10,What are the brand names of Thiothixene ?,0001202-12,brand names,
0,What important warning or information should I know about Thyroid ?,0001203-1,important warning,
1,Who should get Thyroid and why is it prescribed ?,0001203-2,indication,
2,How should Thyroid be used and what is the dosage ?,0001203-3,usage,
3,Are there safety concerns or special precautions about Thyroid ?,0001203-5,precautions,
4,What special dietary instructions should I follow with Thyroid ?,0001203-6,dietary,
5,What should I do if I forget a dose of Thyroid ?,0001203-7,forget a dose,
6,What are the side effects or risks of Thyroid ?,0001203-8,side effects,
7,What should I know about storage and disposal of Thyroid ?,0001203-9,storage and disposal,
8,What to do in case of emergency or overdose of Thyroid ?,0001203-10,emergency or overdose,
9,What other information should I know about Thyroid ?,0001203-11,other information,
10,What are the brand names of Thyroid ?,0001203-12,brand names,
0,Who should get Tiagabine and why is it prescribed ?,0001204-1,indication,
1,How should Tiagabine be used and what is the dosage ?,0001204-2,usage,
2,Are there safety concerns or special precautions about Tiagabine ?,0001204-4,precautions,
3,What special dietary instructions should I follow with Tiagabine ?,0001204-5,dietary,
4,What should I do if I forget a dose of Tiagabine ?,0001204-6,forget a dose,
5,What are the side effects or risks of Tiagabine ?,0001204-7,side effects,
6,What should I know about storage and disposal of Tiagabine ?,0001204-8,storage and disposal,
7,What to do in case of emergency or overdose of Tiagabine ?,0001204-9,emergency or overdose,
8,What other information should I know about Tiagabine ?,0001204-10,other information,
9,What are the brand names of Tiagabine ?,0001204-11,brand names,
0,What important warning or information should I know about Ticagrelor ?,0001205-1,important warning,
1,Who should get Ticagrelor and why is it prescribed ?,0001205-2,indication,
2,How should Ticagrelor be used and what is the dosage ?,0001205-3,usage,
3,Are there safety concerns or special precautions about Ticagrelor ?,0001205-5,precautions,
4,What special dietary instructions should I follow with Ticagrelor ?,0001205-6,dietary,
5,What should I do if I forget a dose of Ticagrelor ?,0001205-7,forget a dose,
6,What are the side effects or risks of Ticagrelor ?,0001205-8,side effects,
7,What should I know about storage and disposal of Ticagrelor ?,0001205-9,storage and disposal,
8,What to do in case of emergency or overdose of Ticagrelor ?,0001205-10,emergency or overdose,
9,What other information should I know about Ticagrelor ?,0001205-11,other information,
10,What are the brand names of Ticagrelor ?,0001205-12,brand names,
0,What other information should I know about Ticarcillin and Clavulanate Injection ?,0001206-1,other information,
1,Are there safety concerns or special precautions about Ticarcillin and Clavulanate Injection ?,0001206-2,precautions,
2,What are the side effects or risks of Ticarcillin and Clavulanate Injection ?,0001206-4,side effects,
3,What should I know about storage and disposal of Ticarcillin and Clavulanate Injection ?,0001206-5,storage and disposal,
4,What to do in case of emergency or overdose of Ticarcillin and Clavulanate Injection ?,0001206-6,emergency or overdose,
5,What are the brand names of combination products of Ticarcillin and Clavulanate Injection ?,0001206-8,brand names of combination products,
0,What important warning or information should I know about Ticlopidine ?,0001207-1,important warning,
1,Who should get Ticlopidine and why is it prescribed ?,0001207-2,indication,
2,How should Ticlopidine be used and what is the dosage ?,0001207-3,usage,
3,Are there safety concerns or special precautions about Ticlopidine ?,0001207-5,precautions,
4,What special dietary instructions should I follow with Ticlopidine ?,0001207-6,dietary,
5,What should I do if I forget a dose of Ticlopidine ?,0001207-7,forget a dose,
6,What are the side effects or risks of Ticlopidine ?,0001207-8,side effects,
7,What should I know about storage and disposal of Ticlopidine ?,0001207-9,storage and disposal,
8,What to do in case of emergency or overdose of Ticlopidine ?,0001207-10,emergency or overdose,
9,What other information should I know about Ticlopidine ?,0001207-11,other information,
10,What are the brand names of Ticlopidine ?,0001207-12,brand names,
0,What important warning or information should I know about Tigecycline Injection ?,0001208-1,important warning,
1,Who should get Tigecycline Injection and why is it prescribed ?,0001208-2,indication,
2,How should Tigecycline Injection be used and what is the dosage ?,0001208-3,usage,
3,Are there safety concerns or special precautions about Tigecycline Injection ?,0001208-5,precautions,
4,What special dietary instructions should I follow with Tigecycline Injection ?,0001208-6,dietary,
5,What should I do if I forget a dose of Tigecycline Injection ?,0001208-7,forget a dose,
6,What are the side effects or risks of Tigecycline Injection ?,0001208-8,side effects,
7,What should I know about storage and disposal of Tigecycline Injection ?,0001208-9,storage and disposal,
8,What to do in case of emergency or overdose of Tigecycline Injection ?,0001208-10,emergency or overdose,
9,What other information should I know about Tigecycline Injection ?,0001208-11,other information,
10,What are the brand names of Tigecycline Injection ?,0001208-12,brand names,
0,Who should get Tiludronate and why is it prescribed ?,0001209-1,indication,
1,How should Tiludronate be used and what is the dosage ?,0001209-2,usage,
2,Are there safety concerns or special precautions about Tiludronate ?,0001209-4,precautions,
3,What special dietary instructions should I follow with Tiludronate ?,0001209-5,dietary,
4,What should I do if I forget a dose of Tiludronate ?,0001209-6,forget a dose,
5,What are the side effects or risks of Tiludronate ?,0001209-7,side effects,
6,What should I know about storage and disposal of Tiludronate ?,0001209-8,storage and disposal,
7,What to do in case of emergency or overdose of Tiludronate ?,0001209-9,emergency or overdose,
8,What other information should I know about Tiludronate ?,0001209-10,other information,
9,What are the brand names of Tiludronate ?,0001209-11,brand names,
0,Who should get Timolol Ophthalmic and why is it prescribed ?,0001210-1,indication,
1,How should Timolol Ophthalmic be used and what is the dosage ?,0001210-2,usage,
2,Are there safety concerns or special precautions about Timolol Ophthalmic ?,0001210-4,precautions,
3,What should I do if I forget a dose of Timolol Ophthalmic ?,0001210-5,forget a dose,
4,What are the side effects or risks of Timolol Ophthalmic ?,0001210-6,side effects,
5,What should I know about storage and disposal of Timolol Ophthalmic ?,0001210-7,storage and disposal,
6,What to do in case of emergency or overdose of Timolol Ophthalmic ?,0001210-8,emergency or overdose,
7,What other information should I know about Timolol Ophthalmic ?,0001210-9,other information,
8,What are the brand names of Timolol Ophthalmic ?,0001210-10,brand names,
9,What are the brand names of combination products of Timolol Ophthalmic ?,0001210-11,brand names of combination products,
0,What important warning or information should I know about Timolol Oral ?,0001211-1,important warning,
1,Who should get Timolol Oral and why is it prescribed ?,0001211-2,indication,
2,How should Timolol Oral be used and what is the dosage ?,0001211-3,usage,
3,Are there safety concerns or special precautions about Timolol Oral ?,0001211-5,precautions,
4,What special dietary instructions should I follow with Timolol Oral ?,0001211-6,dietary,
5,What should I do if I forget a dose of Timolol Oral ?,0001211-7,forget a dose,
6,What are the side effects or risks of Timolol Oral ?,0001211-8,side effects,
7,What should I know about storage and disposal of Timolol Oral ?,0001211-9,storage and disposal,
8,What to do in case of emergency or overdose of Timolol Oral ?,0001211-10,emergency or overdose,
9,What other information should I know about Timolol Oral ?,0001211-11,other information,
10,What are the brand names of Timolol Oral ?,0001211-12,brand names,
11,What are the brand names of combination products of Timolol Oral ?,0001211-13,brand names of combination products,
0,What important warning or information should I know about Tinidazole ?,0001212-1,important warning,
1,Who should get Tinidazole and why is it prescribed ?,0001212-2,indication,
2,How should Tinidazole be used and what is the dosage ?,0001212-3,usage,
3,Are there safety concerns or special precautions about Tinidazole ?,0001212-5,precautions,
4,What special dietary instructions should I follow with Tinidazole ?,0001212-6,dietary,
5,What should I do if I forget a dose of Tinidazole ?,0001212-7,forget a dose,
6,What are the side effects or risks of Tinidazole ?,0001212-8,side effects,
7,What should I know about storage and disposal of Tinidazole ?,0001212-9,storage and disposal,
8,What to do in case of emergency or overdose of Tinidazole ?,0001212-10,emergency or overdose,
9,What other information should I know about Tinidazole ?,0001212-11,other information,
10,What are the brand names of Tinidazole ?,0001212-12,brand names,
0,Who should get Tiotropium Oral Inhalation and why is it prescribed ?,0001213-1,indication,
1,How should Tiotropium Oral Inhalation be used and what is the dosage ?,0001213-2,usage,
2,Are there safety concerns or special precautions about Tiotropium Oral Inhalation ?,0001213-4,precautions,
3,What special dietary instructions should I follow with Tiotropium Oral Inhalation ?,0001213-5,dietary,
4,What should I do if I forget a dose of Tiotropium Oral Inhalation ?,0001213-6,forget a dose,
5,What are the side effects or risks of Tiotropium Oral Inhalation ?,0001213-7,side effects,
6,What should I know about storage and disposal of Tiotropium Oral Inhalation ?,0001213-8,storage and disposal,
7,What to do in case of emergency or overdose of Tiotropium Oral Inhalation ?,0001213-9,emergency or overdose,
8,What other information should I know about Tiotropium Oral Inhalation ?,0001213-10,other information,
9,What are the brand names of Tiotropium Oral Inhalation ?,0001213-11,brand names,
10,What are the brand names of combination products of Tiotropium Oral Inhalation ?,0001213-12,brand names of combination products,
0,What important warning or information should I know about Tipranavir ?,0001214-1,important warning,
1,Who should get Tipranavir and why is it prescribed ?,0001214-2,indication,
2,How should Tipranavir be used and what is the dosage ?,0001214-3,usage,
3,Are there safety concerns or special precautions about Tipranavir ?,0001214-5,precautions,
4,What special dietary instructions should I follow with Tipranavir ?,0001214-6,dietary,
5,What should I do if I forget a dose of Tipranavir ?,0001214-7,forget a dose,
6,What are the side effects or risks of Tipranavir ?,0001214-8,side effects,
7,What should I know about storage and disposal of Tipranavir ?,0001214-9,storage and disposal,
8,What to do in case of emergency or overdose of Tipranavir ?,0001214-10,emergency or overdose,
9,What other information should I know about Tipranavir ?,0001214-11,other information,
10,What are the brand names of Tipranavir ?,0001214-12,brand names,
0,Who should get Tizanidine and why is it prescribed ?,0001215-1,indication,
1,How should Tizanidine be used and what is the dosage ?,0001215-2,usage,
2,Are there safety concerns or special precautions about Tizanidine ?,0001215-4,precautions,
3,What special dietary instructions should I follow with Tizanidine ?,0001215-5,dietary,
4,What should I do if I forget a dose of Tizanidine ?,0001215-6,forget a dose,
5,What are the side effects or risks of Tizanidine ?,0001215-7,side effects,
6,What should I know about storage and disposal of Tizanidine ?,0001215-8,storage and disposal,
7,What to do in case of emergency or overdose of Tizanidine ?,0001215-9,emergency or overdose,
8,What other information should I know about Tizanidine ?,0001215-10,other information,
9,What are the brand names of Tizanidine ?,0001215-11,brand names,
0,What important warning or information should I know about Tobramycin Injection ?,0001216-1,important warning,
1,Who should get Tobramycin Injection and why is it prescribed ?,0001216-2,indication,
2,How should Tobramycin Injection be used and what is the dosage ?,0001216-3,usage,
3,Are there safety concerns or special precautions about Tobramycin Injection ?,0001216-5,precautions,
4,What special dietary instructions should I follow with Tobramycin Injection ?,0001216-6,dietary,
5,What are the side effects or risks of Tobramycin Injection ?,0001216-7,side effects,
6,What to do in case of emergency or overdose of Tobramycin Injection ?,0001216-8,emergency or overdose,
7,What other information should I know about Tobramycin Injection ?,0001216-9,other information,
8,What are the brand names of Tobramycin Injection ?,0001216-10,brand names,
0,Who should get Tobramycin Ophthalmic and why is it prescribed ?,0001217-1,indication,
1,How should Tobramycin Ophthalmic be used and what is the dosage ?,0001217-2,usage,
2,Are there safety concerns or special precautions about Tobramycin Ophthalmic ?,0001217-4,precautions,
3,What special dietary instructions should I follow with Tobramycin Ophthalmic ?,0001217-5,dietary,
4,What should I do if I forget a dose of Tobramycin Ophthalmic ?,0001217-6,forget a dose,
5,What are the side effects or risks of Tobramycin Ophthalmic ?,0001217-7,side effects,
6,What should I know about storage and disposal of Tobramycin Ophthalmic ?,0001217-8,storage and disposal,
7,What other information should I know about Tobramycin Ophthalmic ?,0001217-9,other information,
8,What are the brand names of Tobramycin Ophthalmic ?,0001217-10,brand names,
9,What are the brand names of combination products of Tobramycin Ophthalmic ?,0001217-11,brand names of combination products,
0,What important warning or information should I know about Tocilizumab Injection ?,0001218-1,important warning,
1,Who should get Tocilizumab Injection and why is it prescribed ?,0001218-2,indication,
2,How should Tocilizumab Injection be used and what is the dosage ?,0001218-3,usage,
3,Are there safety concerns or special precautions about Tocilizumab Injection ?,0001218-5,precautions,
4,What special dietary instructions should I follow with Tocilizumab Injection ?,0001218-6,dietary,
5,What should I do if I forget a dose of Tocilizumab Injection ?,0001218-7,forget a dose,
6,What are the side effects or risks of Tocilizumab Injection ?,0001218-8,side effects,
7,What should I know about storage and disposal of Tocilizumab Injection ?,0001218-9,storage and disposal,
8,What to do in case of emergency or overdose of Tocilizumab Injection ?,0001218-10,emergency or overdose,
9,What other information should I know about Tocilizumab Injection ?,0001218-11,other information,
10,What are the brand names of Tocilizumab Injection ?,0001218-12,brand names,
0,What important warning or information should I know about Tofacitinib ?,0001219-1,important warning,
1,Who should get Tofacitinib and why is it prescribed ?,0001219-2,indication,
2,How should Tofacitinib be used and what is the dosage ?,0001219-3,usage,
3,Are there safety concerns or special precautions about Tofacitinib ?,0001219-5,precautions,
4,What special dietary instructions should I follow with Tofacitinib ?,0001219-6,dietary,
5,What should I do if I forget a dose of Tofacitinib ?,0001219-7,forget a dose,
6,What are the side effects or risks of Tofacitinib ?,0001219-8,side effects,
7,What should I know about storage and disposal of Tofacitinib ?,0001219-9,storage and disposal,
8,What to do in case of emergency or overdose of Tofacitinib ?,0001219-10,emergency or overdose,
9,What other information should I know about Tofacitinib ?,0001219-11,other information,
10,What are the brand names of Tofacitinib ?,0001219-12,brand names,
0,Who should get Tolazamide and why is it prescribed ?,0001220-1,indication,
1,How should Tolazamide be used and what is the dosage ?,0001220-2,usage,
2,Are there safety concerns or special precautions about Tolazamide ?,0001220-4,precautions,
3,What special dietary instructions should I follow with Tolazamide ?,0001220-5,dietary,
4,What should I do if I forget a dose of Tolazamide ?,0001220-6,forget a dose,
5,What are the side effects or risks of Tolazamide ?,0001220-7,side effects,
6,What should I know about storage and disposal of Tolazamide ?,0001220-8,storage and disposal,
7,What to do in case of emergency or overdose of Tolazamide ?,0001220-9,emergency or overdose,
8,What other information should I know about Tolazamide ?,0001220-10,other information,
9,What are the brand names of Tolazamide ?,0001220-11,brand names,
0,Who should get Tolbutamide and why is it prescribed ?,0001221-1,indication,
1,How should Tolbutamide be used and what is the dosage ?,0001221-2,usage,
2,Are there safety concerns or special precautions about Tolbutamide ?,0001221-4,precautions,
3,What special dietary instructions should I follow with Tolbutamide ?,0001221-5,dietary,
4,What should I do if I forget a dose of Tolbutamide ?,0001221-6,forget a dose,
5,What are the side effects or risks of Tolbutamide ?,0001221-7,side effects,
6,What should I know about storage and disposal of Tolbutamide ?,0001221-8,storage and disposal,
7,What to do in case of emergency or overdose of Tolbutamide ?,0001221-9,emergency or overdose,
8,What other information should I know about Tolbutamide ?,0001221-10,other information,
9,What are the brand names of Tolbutamide ?,0001221-11,brand names,
0,What important warning or information should I know about Tolcapone ?,0001222-1,important warning,
1,Who should get Tolcapone and why is it prescribed ?,0001222-2,indication,
2,How should Tolcapone be used and what is the dosage ?,0001222-3,usage,
3,Are there safety concerns or special precautions about Tolcapone ?,0001222-4,precautions,
4,What special dietary instructions should I follow with Tolcapone ?,0001222-5,dietary,
5,What should I do if I forget a dose of Tolcapone ?,0001222-6,forget a dose,
6,What are the side effects or risks of Tolcapone ?,0001222-7,side effects,
7,What should I know about storage and disposal of Tolcapone ?,0001222-8,storage and disposal,
8,What to do in case of emergency or overdose of Tolcapone ?,0001222-9,emergency or overdose,
9,What other information should I know about Tolcapone ?,0001222-10,other information,
10,What are the brand names of Tolcapone ?,0001222-11,brand names,
0,Are there safety concerns or special precautions about Tolmetin ?,0001223-1,precautions,
1,What important warning or information should I know about Tolmetin ?,0001223-2,important warning,
2,Who should get Tolmetin and why is it prescribed ?,0001223-3,indication,
3,How should Tolmetin be used and what is the dosage ?,0001223-4,usage,
4,Are there safety concerns or special precautions about Tolmetin ?,0001223-6,precautions,
5,What special dietary instructions should I follow with Tolmetin ?,0001223-7,dietary,
6,What should I do if I forget a dose of Tolmetin ?,0001223-8,forget a dose,
7,What are the side effects or risks of Tolmetin ?,0001223-9,side effects,
8,What should I know about storage and disposal of Tolmetin ?,0001223-10,storage and disposal,
9,What to do in case of emergency or overdose of Tolmetin ?,0001223-11,emergency or overdose,
10,What other information should I know about Tolmetin ?,0001223-12,other information,
11,What are the brand names of Tolmetin ?,0001223-13,brand names,
0,Who should get Tolnaftate and why is it prescribed ?,0001224-1,indication,
1,How should Tolnaftate be used and what is the dosage ?,0001224-2,usage,
2,Are there safety concerns or special precautions about Tolnaftate ?,0001224-3,precautions,
3,What should I do if I forget a dose of Tolnaftate ?,0001224-4,forget a dose,
4,What are the side effects or risks of Tolnaftate ?,0001224-5,side effects,
5,What should I know about storage and disposal of Tolnaftate ?,0001224-6,storage and disposal,
6,What other information should I know about Tolnaftate ?,0001224-7,other information,
7,What are the brand names of Tolnaftate ?,0001224-8,brand names,
0,Who should get Tolterodine and why is it prescribed ?,0001225-1,indication,
1,How should Tolterodine be used and what is the dosage ?,0001225-2,usage,
2,Are there safety concerns or special precautions about Tolterodine ?,0001225-4,precautions,
3,What should I do if I forget a dose of Tolterodine ?,0001225-5,forget a dose,
4,What are the side effects or risks of Tolterodine ?,0001225-6,side effects,
5,What should I know about storage and disposal of Tolterodine ?,0001225-7,storage and disposal,
6,What to do in case of emergency or overdose of Tolterodine ?,0001225-8,emergency or overdose,
7,What other information should I know about Tolterodine ?,0001225-9,other information,
8,What are the brand names of Tolterodine ?,0001225-10,brand names,
0,What important warning or information should I know about Tolvaptan ?,0001226-1,important warning,
1,Who should get Tolvaptan and why is it prescribed ?,0001226-2,indication,
2,How should Tolvaptan be used and what is the dosage ?,0001226-3,usage,
3,Are there safety concerns or special precautions about Tolvaptan ?,0001226-5,precautions,
4,What special dietary instructions should I follow with Tolvaptan ?,0001226-6,dietary,
5,What should I do if I forget a dose of Tolvaptan ?,0001226-7,forget a dose,
6,What are the side effects or risks of Tolvaptan ?,0001226-8,side effects,
7,What should I know about storage and disposal of Tolvaptan ?,0001226-9,storage and disposal,
8,What to do in case of emergency or overdose of Tolvaptan ?,0001226-10,emergency or overdose,
9,What other information should I know about Tolvaptan ?,0001226-11,other information,
10,What are the brand names of Tolvaptan ?,0001226-12,brand names,
0,Who should get Topiramate and why is it prescribed ?,0001227-1,indication,
1,How should Topiramate be used and what is the dosage ?,0001227-2,usage,
2,Are there safety concerns or special precautions about Topiramate ?,0001227-4,precautions,
3,What special dietary instructions should I follow with Topiramate ?,0001227-5,dietary,
4,What should I do if I forget a dose of Topiramate ?,0001227-6,forget a dose,
5,What are the side effects or risks of Topiramate ?,0001227-7,side effects,
6,What should I know about storage and disposal of Topiramate ?,0001227-8,storage and disposal,
7,What to do in case of emergency or overdose of Topiramate ?,0001227-9,emergency or overdose,
8,What other information should I know about Topiramate ?,0001227-10,other information,
9,What are the brand names of Topiramate ?,0001227-11,brand names,
0,What important warning or information should I know about Topotecan ?,0001228-1,important warning,
1,Who should get Topotecan and why is it prescribed ?,0001228-2,indication,
2,How should Topotecan be used and what is the dosage ?,0001228-3,usage,
3,Are there safety concerns or special precautions about Topotecan ?,0001228-5,precautions,
4,What special dietary instructions should I follow with Topotecan ?,0001228-6,dietary,
5,What should I do if I forget a dose of Topotecan ?,0001228-7,forget a dose,
6,What are the side effects or risks of Topotecan ?,0001228-8,side effects,
7,What should I know about storage and disposal of Topotecan ?,0001228-9,storage and disposal,
8,What to do in case of emergency or overdose of Topotecan ?,0001228-10,emergency or overdose,
9,What other information should I know about Topotecan ?,0001228-11,other information,
10,What are the brand names of Topotecan ?,0001228-12,brand names,
0,What important warning or information should I know about Topotecan Injection ?,0001229-1,important warning,
1,Who should get Topotecan Injection and why is it prescribed ?,0001229-2,indication,
2,How should Topotecan Injection be used and what is the dosage ?,0001229-3,usage,
3,Are there safety concerns or special precautions about Topotecan Injection ?,0001229-5,precautions,
4,What special dietary instructions should I follow with Topotecan Injection ?,0001229-6,dietary,
5,What should I do if I forget a dose of Topotecan Injection ?,0001229-7,forget a dose,
6,What are the side effects or risks of Topotecan Injection ?,0001229-8,side effects,
7,What to do in case of emergency or overdose of Topotecan Injection ?,0001229-9,emergency or overdose,
8,What other information should I know about Topotecan Injection ?,0001229-10,other information,
9,What are the brand names of Topotecan Injection ?,0001229-11,brand names,
0,What important warning or information should I know about Toremifene ?,0001230-1,important warning,
1,Who should get Toremifene and why is it prescribed ?,0001230-2,indication,
2,How should Toremifene be used and what is the dosage ?,0001230-3,usage,
3,Are there safety concerns or special precautions about Toremifene ?,0001230-5,precautions,
4,What special dietary instructions should I follow with Toremifene ?,0001230-6,dietary,
5,What should I do if I forget a dose of Toremifene ?,0001230-7,forget a dose,
6,What are the side effects or risks of Toremifene ?,0001230-8,side effects,
7,What should I know about storage and disposal of Toremifene ?,0001230-9,storage and disposal,
8,What to do in case of emergency or overdose of Toremifene ?,0001230-10,emergency or overdose,
9,What other information should I know about Toremifene ?,0001230-11,other information,
10,What are the brand names of Toremifene ?,0001230-12,brand names,
0,What other information should I know about Torsemide Injection ?,0001231-1,other information,
1,Are there safety concerns or special precautions about Torsemide Injection ?,0001231-2,precautions,
2,What are the side effects or risks of Torsemide Injection ?,0001231-4,side effects,
3,What should I know about storage and disposal of Torsemide Injection ?,0001231-5,storage and disposal,
4,What to do in case of emergency or overdose of Torsemide Injection ?,0001231-6,emergency or overdose,
5,What are the brand names of Torsemide Injection ?,0001231-8,brand names,
0,Who should get Torsemide Oral and why is it prescribed ?,0001232-1,indication,
1,How should Torsemide Oral be used and what is the dosage ?,0001232-2,usage,
2,Are there safety concerns or special precautions about Torsemide Oral ?,0001232-4,precautions,
3,What special dietary instructions should I follow with Torsemide Oral ?,0001232-5,dietary,
4,What should I do if I forget a dose of Torsemide Oral ?,0001232-6,forget a dose,
5,What are the side effects or risks of Torsemide Oral ?,0001232-7,side effects,
6,What should I know about storage and disposal of Torsemide Oral ?,0001232-8,storage and disposal,
7,What to do in case of emergency or overdose of Torsemide Oral ?,0001232-9,emergency or overdose,
8,What other information should I know about Torsemide Oral ?,0001232-10,other information,
9,What are the brand names of Torsemide Oral ?,0001232-11,brand names,
0,What important warning or information should I know about Tositumomab Injection ?,0001233-1,important warning,
1,Who should get Tositumomab Injection and why is it prescribed ?,0001233-2,indication,
2,How should Tositumomab Injection be used and what is the dosage ?,0001233-3,usage,
3,Are there safety concerns or special precautions about Tositumomab Injection ?,0001233-5,precautions,
4,What special dietary instructions should I follow with Tositumomab Injection ?,0001233-6,dietary,
5,What should I do if I forget a dose of Tositumomab Injection ?,0001233-7,forget a dose,
6,What are the side effects or risks of Tositumomab Injection ?,0001233-8,side effects,
7,What to do in case of emergency or overdose of Tositumomab Injection ?,0001233-9,emergency or overdose,
8,What other information should I know about Tositumomab Injection ?,0001233-10,other information,
9,What are the brand names of Tositumomab Injection ?,0001233-11,brand names,
0,Who should get Trabectedin Injection and why is it prescribed ?,0001234-1,indication,
1,How should Trabectedin Injection be used and what is the dosage ?,0001234-2,usage,
2,Are there safety concerns or special precautions about Trabectedin Injection ?,0001234-4,precautions,
3,What special dietary instructions should I follow with Trabectedin Injection ?,0001234-5,dietary,
4,What are the side effects or risks of Trabectedin Injection ?,0001234-6,side effects,
5,What to do in case of emergency or overdose of Trabectedin Injection ?,0001234-7,emergency or overdose,
6,What other information should I know about Trabectedin Injection ?,0001234-8,other information,
7,What are the brand names of Trabectedin Injection ?,0001234-9,brand names,
0,Are there safety concerns or special precautions about Tramadol ?,0001235-1,precautions,
1,Who should get Tramadol and why is it prescribed ?,0001235-2,indication,
2,How should Tramadol be used and what is the dosage ?,0001235-3,usage,
3,Are there safety concerns or special precautions about Tramadol ?,0001235-5,precautions,
4,What special dietary instructions should I follow with Tramadol ?,0001235-6,dietary,
5,What should I do if I forget a dose of Tramadol ?,0001235-7,forget a dose,
6,What are the side effects or risks of Tramadol ?,0001235-8,side effects,
7,What should I know about storage and disposal of Tramadol ?,0001235-9,storage and disposal,
8,What to do in case of emergency or overdose of Tramadol ?,0001235-10,emergency or overdose,
9,What other information should I know about Tramadol ?,0001235-11,other information,
10,What are the brand names of Tramadol ?,0001235-12,brand names,
11,What are the brand names of combination products of Tramadol ?,0001235-13,brand names of combination products,
0,Who should get Trametinib and why is it prescribed ?,0001236-1,indication,
1,How should Trametinib be used and what is the dosage ?,0001236-2,usage,
2,Are there safety concerns or special precautions about Trametinib ?,0001236-4,precautions,
3,What special dietary instructions should I follow with Trametinib ?,0001236-5,dietary,
4,What should I do if I forget a dose of Trametinib ?,0001236-6,forget a dose,
5,What are the side effects or risks of Trametinib ?,0001236-7,side effects,
6,What should I know about storage and disposal of Trametinib ?,0001236-8,storage and disposal,
7,What to do in case of emergency or overdose of Trametinib ?,0001236-9,emergency or overdose,
8,What other information should I know about Trametinib ?,0001236-10,other information,
9,What are the brand names of Trametinib ?,0001236-11,brand names,
0,What important warning or information should I know about Trandolapril ?,0001237-1,important warning,
1,Who should get Trandolapril and why is it prescribed ?,0001237-2,indication,
2,How should Trandolapril be used and what is the dosage ?,0001237-3,usage,
3,Are there safety concerns or special precautions about Trandolapril ?,0001237-5,precautions,
4,What special dietary instructions should I follow with Trandolapril ?,0001237-6,dietary,
5,What should I do if I forget a dose of Trandolapril ?,0001237-7,forget a dose,
6,What are the side effects or risks of Trandolapril ?,0001237-8,side effects,
7,What should I know about storage and disposal of Trandolapril ?,0001237-9,storage and disposal,
8,What to do in case of emergency or overdose of Trandolapril ?,0001237-10,emergency or overdose,
9,What other information should I know about Trandolapril ?,0001237-11,other information,
10,What are the brand names of Trandolapril ?,0001237-12,brand names,
